hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,941 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,942 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,942 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-4-1  | 2023-07-11 15:56:58,441 - WARNING - script started
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,943 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,944 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,344 - WARNING - script started
hostname_check-hostname-check-3-1  | 2023-07-11 15:56:58,393 - WARNING - script started
hostname_check-hostname-check-3-1  | 2023-07-11 15:56:58,393 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-3-1  | 2023-07-11 15:56:58,399 - INFO - hostname-check-3 was resolved to ['172.30.0.2', '172.30.0.2', '172.30.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,944 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,944 - INFO - Sleeping for 9.995398044586182 seconds
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,344 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,352 - INFO - hostname-check-1 was resolved to ['172.29.0.8', '172.29.0.8', '172.29.0.8']
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,353 - INFO - hostname-check-2 was resolved to ['172.29.0.10', '172.29.0.10', '172.29.0.10']
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,353 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,356 - WARNING - hostname-check-3 was not resolved
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,356 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-4-1  | 2023-07-11 15:56:58,441 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-4-1  | 2023-07-11 15:56:58,446 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,356 - ERROR - Checked 5 hostnames, 4 were successful, 1 failed
hostname_check-hostname-check-5-1  | 2023-07-11 15:56:58,356 - INFO - Sleeping for 9.988242149353027 seconds
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:07,358 - INFO - hostname-check-1 was resolved to ['172.29.0.8', '172.29.0.8', '172.29.0.8']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:07,359 - INFO - hostname-check-2 was resolved to ['172.29.0.10', '172.29.0.10', '172.29.0.10']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:07,360 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:07,362 - WARNING - hostname-check-3 was not resolved
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:07,362 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:07,362 - ERROR - Checked 5 hostnames, 4 were successful, 1 failed
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,890 - WARNING - script started
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,593 - WARNING - script started
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,593 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,598 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-1-1  | 2023-07-11 15:56:58,599 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,890 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-2-1  | 2023-07-11 15:56:58,895 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
